keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status,screening_status
communication challenges in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
green flags in a men,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ai chat analyzer relationship,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer,95,10,,LOW,3,not queried,available,长尾/辅助候选，KD未查
how to know if a guy is interested through text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text,80,10,,LOW,3,not queried,available,长尾/辅助候选，KD未查
how to set boundaries in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: situationship boundaries w,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why is my ex hot and cold,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex hot and cold h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
she's acting distant,distance,TBD,Google autocomplete: he is distant a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
can you come back from ghosting,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: why do ghosters come back h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs if he likes you,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs a guy likes you a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
3 days no contact rule after breakup,backlog-ex,TBD,unqueried backlog; Google autocomplete: no contact rule after breakup,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
fun questions for long distance relationships,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions h,80,10,,HIGH,86,not queried,available,长尾/辅助候选，KD未查
how to tell if a guy is interested over text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text a,80,10,,LOW,11,not queried,available,长尾/辅助候选，KD未查
signs he is pulling away from you,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he is pulling away,80,10,0.07,LOW,30,not queried,available,长尾/辅助候选，KD未查
is my situationship in love with me,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my situationship like me w,80,10,,LOW,21,not queried,available,长尾/辅助候选，KD未查
why don't guys text back right away,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: he replies but never initiates,80,10,0.03,LOW,12,not queried,available,长尾/辅助候选，KD未查
boyfriend is acting distant,distance,TBD,Google autocomplete: he is distant a,85,10,0.07,LOW,20,not queried,available,长尾/辅助候选，KD未查
do ghosters come back after months,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: why do ghosters come back,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
texting etiquette when first dating,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting etiquette dating,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs she is catching feelings,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he is catching feelings,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
can i wish my ex happy birthday,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex says happy birthday a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he stopped texting after first date,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend stopped texting a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
ai relationship advice app,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai relationship advice,80,10,,MEDIUM,40,not queried,available,长尾/辅助候选，KD未查
he texts me every day but never makes plans,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: he texts me but never makes plans,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why is my ex texting me everyday,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why is my ex texting me,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
banter flirting meaning,textmeaning,TBD,Google autocomplete: banter flirting,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
do expectations ruin relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: relationship expectations h,80,10,,LOW,2,not queried,available,长尾/辅助候选，KD未查
ex boyfriend texts out of the blue,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex texts out of the blue,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to tell if a guy loves you over text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: how to tell if a guy likes you over text,80,10,,,,not queried,available,长尾/辅助候选，KD未查
signs he's losing interest in the relationship,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he is losing interest,80,10,0.05,LOW,25,not queried,available,长尾/辅助候选，KD未查
how to be hot and cold with a guy,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: hot and cold texting w,80,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
does my ex miss me after 2 months,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my ex miss me a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
relationship help questions,conversation,TBD,Google autocomplete: relationship questions h,75,10,0.04,LOW,13,not queried,available,长尾/辅助候选，KD未查
he is acting distant,distance,TBD,Google autocomplete: he is distant a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
do they come back after ghosting,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: he came back after ghosting,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he stopped texting and calling me,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend stopped texting a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
how to tell if a man likes you over text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: how to tell if a guy likes you over text,80,10,0.12,LOW,12,not queried,available,长尾/辅助候选，KD未查
does my ex miss me after 2 years,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my ex miss me a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship history questions,conversation,TBD,Google autocomplete: relationship questions h,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he is acting weird,distance,TBD,Google autocomplete: he is acting different,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable widower,patterns,TBD,Google autocomplete: emotional unavailability w,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to tell if he is flirting or being friendly,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he flirting or being friendly h,80,10,0.08,MEDIUM,57,not queried,available,长尾/辅助候选，KD未查
signs someone is pulling away from you,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he is pulling away,80,10,0.09,LOW,4,not queried,available,长尾/辅助候选，KD未查
how to respond to mixed signals from a guy,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: mixed signals from a guy h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why can t he commit to me,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why wont he commit,80,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
does my ex miss me after 3 months,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my ex miss me,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
casual dating women,dating,TBD,Google autocomplete: casual dating w,75,10,,LOW,20,not queried,available,长尾/辅助候选，KD未查
emotional attraction examples,textmeaning,TBD,Google autocomplete: emotional attraction,85,10,,LOW,2,not queried,available,长尾/辅助候选，KD未查
ghosted after 4 months of dating,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: ghosting after months of dating,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
texting habits and relationships psychology,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting habits a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
green flags in men relationships,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ex text me out of the blue,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex texts out of the blue,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
long distance boyfriend bad at texting,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship texting a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ai text message analysis,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai text message analyzer,95,10,,LOW,14,not queried,available,长尾/辅助候选，KD未查
why he won t commit to you,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why wont he commit,80,10,,LOW,10,not queried,available,长尾/辅助候选，KD未查
signs of human attraction,interest,TBD,Google autocomplete: signs of attraction h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
casual relationship app,dating,TBD,Google autocomplete: casual relationship a,75,10,,HIGH,86,not queried,available,长尾/辅助候选，KD未查
ex texts you out of the blue,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex texts out of the blue,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what to do when he's losing interest,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest w,80,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
why won t he commit to marriage,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why wont he commit,80,10,,,,not queried,available,长尾/辅助候选，KD未查
my ex texted me hey,breakup,TBD,Google autocomplete: my ex texted me h,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
texting her after first date,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
long distance love text for her,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship texting h,80,10,,MEDIUM,33,not queried,available,长尾/辅助候选，KD未查
ask ai relationship advice,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai relationship advice a,80,10,,MEDIUM,57,not queried,available,长尾/辅助候选，KD未查
signs he likes you more than a friend over text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he likes you over text a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why do guys act interested then not follow through,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: he acts interested then disappears,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why won't he commit to a relationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why wont he commit,80,10,0.02,LOW,10,not queried,available,长尾/辅助候选，KD未查
should i text him first after a fight,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: should i text him first,80,10,,LOW,6,not queried,available,长尾/辅助候选，KD未查
my ex texted me hi,breakup,TBD,Google autocomplete: my ex texted me h,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ghosting after 2 months of dating,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: ghosting after months of dating,80,10,0.04,LOW,7,not queried,available,长尾/辅助候选，KD未查
texting him after first date,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date h,80,10,,,,not queried,available,长尾/辅助候选，KD未查
ex wants to meet up after years,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex wants to meet up,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why does he keep texting me everyday,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: he used to text me everyday a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
why is he so hot and cold with texting,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: hot and cold texting w,80,10,,,,not queried,available,长尾/辅助候选，KD未查
should i text him first after an argument,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: should i text him first,80,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
ex wants to meet up and talk,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex wants to meet up,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why is he interested in me all of a sudden,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he interested in me a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
why does he take long to reply,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: he takes longer to reply,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
does my ex miss me during no contact,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my ex miss me,80,10,,LOW,20,not queried,available,长尾/辅助候选，KD未查
does anyone find me attractive,interest,TBD,Google autocomplete: does he find me attractive,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
conversation starters about life,conversation,TBD,Google autocomplete: conversation starters a,75,10,0.03,MEDIUM,48,not queried,available,长尾/辅助候选，KD未查
how to respond to hey hey,responses,TBD,Google autocomplete: how to respond to hey h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
texting in a new relationship,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting in a relationship,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ex wants to meet up as friends,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex wants to meet up,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ex boyfriend sending hurtful texts after no contact,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex texts after no contact,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
conversation starters after hey,conversation,TBD,Google autocomplete: conversation starters a,75,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
how to end a talking stage without ghosting,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how to end a talking stage,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
texting rules in a relationship,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting in a relationship,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
does she miss me after breakup,backlog-interest,TBD,unqueried backlog; Google autocomplete: does he miss me a,80,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
emotional intimacy and appreciation,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional intimacy a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ex wants to meet up for closure,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex wants to meet up,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
long distance relationship problems and solutions,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ex boyfriend wants to be friends with benefits,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex wants to be friends w,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
should i text him first after no contact,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: should i text him first,80,10,0.03,LOW,14,not queried,available,长尾/辅助候选，KD未查
how to respond to his apology,responses,TBD,Google autocomplete: how to respond to an apology h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what are good night messages,backlog-texting,TBD,unqueried backlog; Google autocomplete: good night texts meaning a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why is he taking long to reply,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: he takes longer to reply,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to know you are in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: am i in a situationship a,80,10,0.03,HIGH,71,not queried,available,长尾/辅助候选，KD未查
ex husband wants to be friends with benefits,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex wants to be friends h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
should i text him first after second date,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: should i text him first a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
dating and communication,dating,TBD,Google autocomplete: dating communication a,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
left on delivered whatsapp,distance,TBD,Google autocomplete: left on delivered w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
10 signs a relationship is over,breakup,TBD,Google autocomplete: signs a relationship is over,75,10,,LOW,18,not queried,available,长尾/辅助候选，KD未查
what counts as double texting,backlog-texting,TBD,unqueried backlog; Google autocomplete: double texting rules,80,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
long distance relationship questions for couples,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions,80,10,0.05,MEDIUM,37,not queried,available,长尾/辅助候选，KD未查
what are the red flag in a relationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: situationship red flags,80,10,,MEDIUM,36,not queried,available,长尾/辅助候选，KD未查
should i text him first in talking stage,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: should i text him first,80,10,,LOW,8,not queried,available,长尾/辅助候选，KD未查
5 signs a relationship is over,breakup,TBD,Google autocomplete: signs a relationship is over,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what to do after a failed talking stage,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: failed talking stage h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what does bad texter mean,backlog-texting,TBD,unqueried backlog; Google autocomplete: bad texter or not interested h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
love bombing after an argument,backlog-signals,TBD,unqueried backlog; Google autocomplete: love bombing a,80,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
is no contact after a breakup necessary,backlog-ex,TBD,unqueried backlog; Google autocomplete: no contact rule after breakup h,80,10,,LOW,4,not queried,available,长尾/辅助候选，KD未查
long distance relationship questions for her,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions,80,10,0.04,LOW,29,not queried,available,长尾/辅助候选，KD未查
he used to text me everyday but stopped,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: he used to text me everyday,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what does red flag in a relationship mean,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: situationship red flags,80,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
ex reached out 2 weeks into no contact,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex reaching out w,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
should i text him first in the morning,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: should i text him first,80,10,,LOW,9,not queried,available,长尾/辅助候选，KD未查
dating communication skills,dating,TBD,Google autocomplete: dating communication,75,10,,,,not queried,available,长尾/辅助候选，KD未查
left on read app,distance,TBD,Google autocomplete: left on read a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he came back after ghosting me,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: he came back after ghosting,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional reciprocity in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: reciprocity in relationships,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
my ex said happy birthday to me,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex says happy birthday,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
long distance relationship questions for him,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions,80,10,0.23,MEDIUM,37,not queried,available,长尾/辅助候选，KD未查
he used to text me good morning everyday,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: he used to text me everyday,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
when should you walk away from a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs of a situationship a,80,10,,LOW,5,not queried,available,长尾/辅助候选，KD未查
why no response is a response,responses,TBD,Google autocomplete: how to respond to no response,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship doubts normal,patterns,TBD,Google autocomplete: relationship doubts,75,10,,LOW,4,not queried,available,长尾/辅助候选，KD未查
emotionally available and grounded,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional availability a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
no contact rule after breakup how long,backlog-ex,TBD,unqueried backlog; Google autocomplete: no contact rule after breakup,80,10,,LOW,26,not queried,available,长尾/辅助候选，KD未查
how to know he's losing interest in you,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest h,80,10,0.03,LOW,25,not queried,available,长尾/辅助候选，KD未查
where do you see this relationship going answer,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: where is this relationship going a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how do i reply to an apology,responses,TBD,Google autocomplete: how to respond to an apology h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to end a hookup relationship,breakup,TBD,Google autocomplete: how to end a relationship h,75,10,,LOW,2,not queried,available,长尾/辅助候选，KD未查
flirting husband signs,textmeaning,TBD,Google autocomplete: flirting signs h,85,10,,,,not queried,available,长尾/辅助候选，KD未查
why you shouldn't double text,backlog-texting,TBD,unqueried backlog; Google autocomplete: is double texting bad h,80,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
long distance relationship she losing interest,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship losing interest,80,10,,,,not queried,available,长尾/辅助候选，KD未查
how to tell if someone is pulling away,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he is pulling away a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why won t he commit after 2 years,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why wont he commit,80,10,,,,not queried,available,长尾/辅助候选，KD未查
how long should the talking stage last before dating,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last,80,10,,LOW,3,not queried,available,长尾/辅助候选，KD未查
how to respond to ghosting someone,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: how to respond to ghosting,80,10,,MEDIUM,50,not queried,available,长尾/辅助候选，KD未查
after first date he texts less,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date h,80,10,,,,not queried,available,长尾/辅助候选，KD未查
flirting with a woman over text,backlog-interest,TBD,unqueried backlog; Google autocomplete: flirting over text a,80,10,0.03,MEDIUM,46,not queried,available,长尾/辅助候选，KD未查
reaching out to an ex for closure,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex reaching out for closure a,80,10,0.09,LOW,14,not queried,available,长尾/辅助候选，KD未查
long distance relationship text for her,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship texting h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why won t he commit to a relationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why wont he commit a,80,10,0.02,LOW,10,not queried,available,长尾/辅助候选，KD未查
signs of an attractive personality,interest,TBD,Google autocomplete: signs of attraction a,85,10,,,,not queried,available,长尾/辅助候选，KD未查
flirting with banter,textmeaning,TBD,Google autocomplete: banter flirting w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how long should the talking stage last before meeting,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last,80,10,,,,not queried,available,长尾/辅助候选，KD未查
after second date he stopped texting,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after second date h,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
long distance relationship texting too much,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship texting,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
is he losing interest or am i paranoid,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
why do guys only respond to one text,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: one sided texting a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs of an attractive woman,interest,TBD,Google autocomplete: signs of attraction a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
she came back after ghosting me,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: he came back after ghosting,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
bad at texting or not interested,backlog-texting,TBD,unqueried backlog; Google autocomplete: bad texter or not interested,80,10,,,,not queried,available,长尾/辅助候选，KD未查
how to know if i am in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: am i in a situationship h,80,10,,LOW,14,not queried,available,长尾/辅助候选，KD未查
how to get closure with someone,breakup,TBD,Google autocomplete: how to get closure w,75,10,,LOW,19,not queried,available,长尾/辅助候选，KD未查
how much should you text in the talking stage,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how often should you text in the talking stage,80,10,,LOW,7,not queried,available,长尾/辅助候选，KD未查
what to do if your ghosted,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: what to do when you get ghosted a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable partner meaning,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotionally unavailable partner,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
long term relationship questions to ask,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions a,80,10,0.04,LOW,26,not queried,available,长尾/辅助候选，KD未查
red flag account limit,backlog-tools,TBD,unqueried backlog; Google autocomplete: relationship red flag checker,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ex wants to be friends but is distant,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex wants to be friends,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to get closure without closure,breakup,TBD,Google autocomplete: how to get closure,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
she is acting different,distance,TBD,Google autocomplete: he is acting different,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to get closure without contact,breakup,TBD,Google autocomplete: how to get closure w,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
